::1 - - [04/May/2017:01:11:08 +0000] "GET /dist/sweetalert.min.js HTTP/1.1" 404 161 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:11:21 +0000] "GET /dist/sweetalert.css HTTP/1.1" 404 158 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:11:21 +0000] "GET /dist/sweetalert.min.js HTTP/1.1" 404 161 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:11:21 +0000] "GET /dist/sweetalert.min.js HTTP/1.1" 404 161 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:11:25 +0000] "GET /dist/sweetalert.css HTTP/1.1" 404 158 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:12:16 +0000] "GET /dist/sweetalert.css HTTP/1.1" 404 158 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:12:16 +0000] "GET /dist/sweetalert.min.js HTTP/1.1" 404 161 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:12:16 +0000] "GET /dist/sweetalert.min.js HTTP/1.1" 404 161 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:34:05 +0000] "POST / HTTP/1.1" - - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:38:45 +0000] "POST / HTTP/1.1" - - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:40:50 +0000] "POST / HTTP/1.1" - - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:43:48 +0000] "POST / HTTP/1.1" 302 46 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:47:17 +0000] "POST / HTTP/1.1" 200 - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:49:45 +0000] "POST / HTTP/1.1" 200 2 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:50:02 +0000] "POST / HTTP/1.1" 200 2 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:55:12 +0000] "POST / HTTP/1.1" - - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [04/May/2017:01:57:12 +0000] "POST / HTTP/1.1" - - "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
